,SEMESTER,AGE,GENDER,ADDRESS,FAMILY SIZE,PARENT STATUS,TRAVEL TIME,FAMILY SUPPORT,ACTIVITIES,LANGUAGES,INTERNET,FREETIME,HEALTH,NO OF ABSENCE,NO OF WITHDRAWL,CURRENT CGPA,STUDY TIME,STUDENT JOB,AVG GPA
0,10.0,18.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,0.0,4.0
1,10.0,18.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,3.0,9.0,4.0,3.0,3.0,1.0,4.0
2,5.0,23.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,1.67
3,5.0,20.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,5.0,1.0,4.0,2.0,5.0,3.0,0.0,3.67
4,6.0,23.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,5.0,2.0,2.0,5.0,0.0,3.33
5,6.0,19.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,3.67
6,10.0,20.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,5.0,5.0,4.0,0.0,3.0,4.0,1.0,3.67
7,6.0,23.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,4.0,4.0,2.0,0.0,4.0,2.0,5.0,1.0,3.0
8,8.0,24.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,7.0,0.0,2.0,5.0,1.0,4.0
9,10.0,18.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,5.0,4.0,1.0,4.0,5.0,5.0,2.0,1.0,4.0
10,8.0,21.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,5.0,0.0,4.0,5.0,0.0,4.0
11,1.0,22.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,3.0,3.0,4.0,3.0,5.0,2.0,0.0,1.67
12,9.0,18.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,2.0,4.0,0.0,3.0,5.0,1.0,3.33
13,1.0,24.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,5.0,3.0,0.0,5.0,4.0,4.0,0.0,3.33
14,5.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,3.67
15,2.0,24.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,2.33
16,7.0,19.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,5.0,2.0,0.0,3.0,5.0,0.0,2.67
17,10.0,24.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,0.0,1.67
18,9.0,21.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,5.0,5.0,9.0,4.0,1.0,4.0,0.0,3.0
19,1.0,18.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,2.0,8.0,1.0,5.0,2.0,1.0,3.0
20,1.0,18.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,4.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,1.0
21,9.0,21.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,1.0,8.0,3.0,3.0,2.0,1.0,2.33
22,6.0,20.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,5.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,1.33
23,2.0,19.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,5.0,8.0,3.0,2.0,4.0,1.0,2.33
24,9.0,22.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0
25,2.0,22.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,4.0,1.0,4.0,1.0,1.33
26,5.0,24.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,5.0,5.0,2.0,7.0,5.0,1.0,1.0,0.0,2.0
27,6.0,23.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,7.0,0.0,4.0,4.0,0.0,2.67
